Name,Symbol,Decimals,Address on GC,Address on ETH
ChainLink Token,LINK,18,0xE2e73A1c69ecF83F464EFCE6A5be353a37cA09b2,0x514910771AF9Ca656af840dff83E8264EcF986CA
Aave v3 WETH,AWETH,18,0xa818F1B57c201E092C4A2017A91815034326Efd1,
Uniswap,UNI,18,0x4537e328Bf7e4eFA29D05CAeA260D7fE26af9D74,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984
GHO,GHO,18,0xfc421aD3C883Bf9E7C4f42dE845C4e4405799e73,
Gnosis Token,GNO,18,0x9C58BAcC331c9aa871AFD802DB6379a98e80CEdb,0x6810e776880C02933D47DB1b9fc05908e5386b96
Curve.Fi USD Stablecoin,crvUSD,18,0xaBEf652195F98A91E490f047A5006B71c85f058d,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E
CoW Protocol Token,COW,18,0x177127622c4A00F3d409B75571e12cB3c8973d3c,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB
Safe Token,SAFE,18,0x4d18815D14fe5c3304e87B3FA18318baa5c23820,0x5aFE3855358E112B5647B952709E6165e1c1eEEe
yearn.finance,YFI,18,0xbf65bfcb5da067446CeE6A706ba3Fe2fB1a9fdFd,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e
XDAI,XDAI,18,0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d,
Savings xDAI,SDAI,18,0xaf204776c7245bF4147c2612BF6e5972Ee483701,
Tellor Tributes,TRB,18,0xAAd66432d27737ecf6ED183160Adc5eF36aB99f2,0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0
Wrapped liquid staked Ether 2.0,wstETH,18,0x6C76971f98945AE98dD7d4DFcA8711ebea946eA6,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
Frankencoin,ZCHF,18,0xD4dD9e2F021BB459D5A5f6c24C12fE09c5D45553,
Backed CSPX Core S&P 500,bCSPX,18,0x1e2C4fb7eDE391d116E6B41cD0608260e8801D59,0x1e2C4fb7eDE391d116E6B41cD0608260e8801D59
Monerium EUR emoney,EURE,18,0x420CA0f9B9b604cE0fd9C18EF134C705e5Fa3430,
Monerium EUR emoney [OLD],EURE,18,0xcB444e90D8198415266c6a2724b7900fb12FC56E,
BRLA Digital BRLA,BRLA,18,0xFECB3F7c54E2CAAE9dC6Ac9060A822D47E053760,
JPY Coin,JPYC,18,0x431D5dfF03120AFA4bDf332c61A6e1766eF37BDB,
Backed IB01 $ Treasury Bond 0-1yr,BIB01,18,0xCA30c93B02514f86d5C86a6e375E3A330B435Fb5,
JPY Coin,JPYC,18,0x417602f4fbdd471A431Ae29fB5fe0A681964C11b,0x2370f9d504c7a6E775bf6E14B3F12846b594cD53
USD Coin,USDC,6,0xDDAfbb505ad214D7b80b1f830fcCc89B60fb7A83,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
Gnosis xDAI Bridged USDC (Gnosis),USDC.E,6,0x2a22f9c3b484c3629090FeED35F17Ff8F88f76F0,
HOPR Token,HOPR,18,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xF5581dFeFD8Fb0e4aeC526bE659CFaB1f8c781dA
MAI,MIMATIC,18,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d,
Backed GOVIES 0-6 months EURO,BC3M,18,0x2F123cF3F37CE3328CC9B5b8415f9EC5109b45e7,
Pinakion,PNK,18,0x37b60f4E9A31A64cCc0024dce7D0fD07eAA0F7B3,0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d
Balancer,BAL,18,0x7eF541E2a22058048904fE5744f9c7E4C57AF717,0xba100000625a3754423978a60c9317c58a424e3D
Ethix,ETHIX,18,0xec3f3e6d7907acDa3A7431abD230196CDA3FbB19,0xFd09911130e6930Bf87F2B0554c44F400bD80D3e
Badger,BADGER,18,0xdfc20AE04ED70bd9c7D720F449eEDAe19F659D65,0x3472A5A71965499acd81997a54BBA8D852C6E53d
Backed Coinbase Global,BCOIN,18,0xbbcb0356bB9e6B3Faa5CbF9E5F36185d53403Ac9,
Autonolas,OLAS,18,0xcE11e14225575945b8E6Dc0D4F2dD4C570f79d9f,0x0001A500A6B18995B03f44bb040A5fFc28E45CB0
Wrapped Ether,WETH,18,0x6A023CCd1ff6F2045C3309768eAd9E68F978f6e1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
RealToken Ecosystem Governance,REG,18,0x0AA1e96D2a46Ec6beB2923dE1E61Addf5F5f1dce,
BZZ,BZZ,16,0xdBF3Ea6F5beE45c02255B2c26a16F300502F68da,0x19062190B1925b5b6689D7073fDfC8c2976EF8Cb
DefiPulse Index,DPI,18,0xD3D47d5578e55C880505dC40648F7F9307C3e7A8,0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b
FOX,FOX,18,0x21a42669643f45Bc0e086b8Fc2ed70c23D67509d,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d
