Name,Symbol,Decimals,Chain,Token Address,dailyLimit,executionDailyLimit,minPerTx,maxPerTx,dailyLimit (raw),executionDailyLimit (raw),minPerTx (raw),maxPerTx (raw)
"ChainLink Token",LINK,18,Gnosis,0xE2e73A1c69ecF83F464EFCE6A5be353a37cA09b2,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"ChainLink Token",LINK,18,Ethereum,0x514910771AF9Ca656af840dff83E8264EcF986CA,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Aave v3 WETH",AWETH,18,Gnosis,0xa818F1B57c201E092C4A2017A91815034326Efd1,0,0,0,0,0,0,0,0
"Aave v3 WETH",AWETH,18,Ethereum,null,null,null,null,null,null,null,null,null
"Uniswap",UNI,18,Gnosis,0x4537e328Bf7e4eFA29D05CAeA260D7fE26af9D74,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Uniswap",UNI,18,Ethereum,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"GHO",GHO,18,Gnosis,0xfc421aD3C883Bf9E7C4f42dE845C4e4405799e73,0,0,0,0,0,0,0,0
"GHO",GHO,18,Ethereum,null,null,null,null,null,null,null,null,null
"Gnosis Token",GNO,18,Gnosis,0x9C58BAcC331c9aa871AFD802DB6379a98e80CEdb,36000.000000000000000001,1000000000000000000,0.000000000000000001,36000,36000000000000000000001,1000000000000000000000000000000000000,1,36000000000000000000000
"Gnosis Token",GNO,18,Ethereum,0x6810e776880C02933D47DB1b9fc05908e5386b96,1000000000000000000,36000.000000000000000001,0.000000000000000001,1000000000,1000000000000000000000000000000000000,36000000000000000000001,1,1000000000000000000000000000
"Curve.Fi USD Stablecoin",crvUSD,18,Gnosis,0xaBEf652195F98A91E490f047A5006B71c85f058d,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Curve.Fi USD Stablecoin",crvUSD,18,Ethereum,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"CoW Protocol Token",COW,18,Gnosis,0x177127622c4A00F3d409B75571e12cB3c8973d3c,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"CoW Protocol Token",COW,18,Ethereum,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Safe Token",SAFE,18,Gnosis,0x4d18815D14fe5c3304e87B3FA18318baa5c23820,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"Safe Token",SAFE,18,Ethereum,0x5aFE3855358E112B5647B952709E6165e1c1eEEe,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"yearn.finance",YFI,18,Gnosis,0xbf65bfcb5da067446CeE6A706ba3Fe2fB1a9fdFd,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"yearn.finance",YFI,18,Ethereum,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"XDAI",XDAI,18,Gnosis,0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"XDAI",XDAI,18,Ethereum,null,null,null,null,null,null,null,null,null
"Savings xDAI",SDAI,18,Gnosis,0xaf204776c7245bF4147c2612BF6e5972Ee483701,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Savings xDAI",SDAI,18,Ethereum,null,null,null,null,null,null,null,null,null
"Tellor Tributes",TRB,18,Gnosis,0xAAd66432d27737ecf6ED183160Adc5eF36aB99f2,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Tellor Tributes",TRB,18,Ethereum,0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Wrapped liquid staked Ether 2.0",wstETH,18,Gnosis,0x6C76971f98945AE98dD7d4DFcA8711ebea946eA6,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Wrapped liquid staked Ether 2.0",wstETH,18,Ethereum,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Frankencoin",ZCHF,18,Gnosis,0xD4dD9e2F021BB459D5A5f6c24C12fE09c5D45553,0,0,0,0,0,0,0,0
"Frankencoin",ZCHF,18,Ethereum,null,null,null,null,null,null,null,null,null
